name,image_url,description,price,url
ASRock B760M Pro RS D5 DDR5 12th/13th/14th Gen Intel Motherboard<br> Product Id: 02.01.504.139,https://www.ryans.com/storage/products/small/asrock-b760m-pro-rs-d5-ddr5-12th13th14th-gen-11733657247.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - 12th/13th/14th Gen Intel Core Processors'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 4'}, {'feature': 'Memory Max. - 256GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Black & White'}]","Tk
                                                    19,200",https://www.ryans.com/asrock-b760m-pro-rs-d5-ddr5-intel-motherboard
Corsair RMe Series RM1000e 1000W PG5 80 PLUS Gold Certified Fully Modular Black Power Supply #CP-9020264-NA<br> Product Id: 55.01.470.206,https://www.ryans.com/storage/products/small/corsair-rme-series-rm1000e-1000w-pg5-80-plus-gold-11748260108.webp,"[{'feature': 'PSU Category - Full Modular'}, {'feature': 'Type - ATX 3.1'}, {'feature': 'Maximum Power - 1000 Watt'}, {'feature': 'Efficiency - 90% Efficiency'}, {'feature': 'Efficiency Rating - 80 Plus Gold'}, {'feature': 'Color - Black'}, {'feature': 'Warranty - 10 Year'}]","Tk
                                                    19,200",https://www.ryans.com/corsair-rme-series-rm1000e-1000w-pg5-fully-modular-power-supply
Gigabyte B760M GAMING AX (1.0) (Wi-Fi 6E) DDR5 12th/13th/14th Gen Intel LGA1700 Socket Motherboard #B760M G AX<br> Product Id: 02.01.018.580,https://www.ryans.com/storage/products/small/gigabyte-b760m-gaming-ax-10-wi-fi-6e-ddr5-11748349834.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - 14th, 13th, and 12th Generation Intel Core, Pentium Gold and Celeron Processors'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 2'}, {'feature': 'Memory Max. - 128GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Black'}]","Tk
                                                    19,200",https://www.ryans.com/gigabyte-b760m-gaming-ax-1.0-wi-fi-6e-ddr5-intel-motherboard
Team T-Force G70 Pro 2TB M.2 2280 PCIe Gen4x4 NVMe Gaming SSD with Aluminum Heatsink #TM8FFH002T0C128<br> Product Id: 04.02.223.123,https://www.ryans.com/storage/products/small/team-t-force-g70-pro-2tb-m2-2280-pcie-gen4x4-11758083398.webp,"[{'feature': 'Type - Internal SDD'}, {'feature': 'Storage - 2TB'}, {'feature': 'Form Factor (Inch) - M.2 2280'}, {'feature': 'Interface(s) - PCIe Gen4x4 NVMe'}, {'feature': 'Read Speed (Max.) - 7400MB/s'}, {'feature': 'Write Speed (Max.) - 6800MB/s'}, {'feature': 'Color - Black'}]","Tk
                                                    19,200",https://www.ryans.com/team-t-force-g70-pro-2tb-m.2-2280-gaming-internal-ssd
Corsair Frame 5000D RS ARGB White Mid Tower E-ATX Gaming Desktop Casing #CC-9011310-WW<br> Product Id: 07.02.470.104,https://www.ryans.com/storage/products/small/corsair-frame-5000d-rs-argb-white-mid-tower-e-atx-11758534378.webp,"[{'feature': 'Case Type - Mid Tower'}, {'feature': 'Optical Drive Bay - No'}, {'feature': 'Cooling Fan (Built-In) - 4'}, {'feature': 'Lighting Fan - ARGB'}, {'feature': 'Power Supply (Built-In) - No'}, {'feature': 'Back-Connect Supported - Yes'}, {'feature': 'Color - White'}]","Tk
                                                    19,200                                                     (Estimated)",https://www.ryans.com/corsair-frame-5000d-rs-argb-mid-tower-gaming-desktop-casing
Asus B760M-AYW (Wi-Fi 6) DDR5 Intel Motherboard<br> Product Id: 02.01.006.521,https://www.ryans.com/storage/products/small/asus-b760m-ayw-wi-fi-6-ddr5-intel-11729335811.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - Intel Core 14th & 13th Gen Processors, Intel Core 12th Gen, Pentium Gold and Celeron Processors'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 2'}, {'feature': 'Memory Max. - 96GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Black'}]","Tk
                                                    19,300",https://www.ryans.com/asus-b760m-ayw-wi-fi-6-ddr5-intel-motherboard
Steelseries Apex 7 RGB Wired (Blue Switch) Black Mechanical Gaming Keyboard with Magnetic Wrist Rest #64774<br> Product Id: 05.01.763.13,https://www.ryans.com/storage/products/small/steelseries-apex-7-rgb-wired-blue-switch-black-11735644644.webp,"[{'feature': 'Type - Mechanical Gaming Keyboard'}, {'feature': 'Interface - USB'}, {'feature': 'Lighting - Yes'}, {'feature': 'Mechanical (Key) - Yes'}, {'feature': 'Switch Type - Blue Switch'}, {'feature': 'Color - Black'}, {'feature': 'Combo Package - Keyboard only'}]","Tk
                                                    19,300",https://www.ryans.com/steelseries-apex-7-rgb-wired-blue-switch-gaming-keyboard
Adata XPG Mars 980 Blade 1TB M.2 2280 NVMe PCIe Gen5x4 SSD with Heatsink #SMAR-980B-1TCS<br> Product Id: 04.02.055.260,https://www.ryans.com/storage/products/small/adata-xpg-mars-980-blade-1tb-m2-2280-nvme-pcie-11750141788.webp,"[{'feature': 'Type - Internal SSD'}, {'feature': 'Storage - 1TB'}, {'feature': 'Form Factor (Inch) - M.2 2280'}, {'feature': 'Interface(s) - NVMe PCIe Gen5 x4'}, {'feature': 'Read Speed (Max.) - 14000MB/s'}, {'feature': 'Write Speed (Max.) - 10000MB/s'}, {'feature': 'Color - Silver'}]","Tk
                                                    19,300",https://www.ryans.com/adata-xpg-mars-980-blade-1tb-ssd
Samsung 16GB DDR4 2666MT/s UDIMM ECC Server RAM (1 Year)<br> Product Id: 03.03.039.14,https://www.ryans.com/storage/products/small/samsung-16gb-ddr4-2666mts-udimm-ecc-server-11724564520.webp,"[{'feature': 'Capacity (GB/TB) - 16GB'}, {'feature': 'RAM Type - DDR4 Server RAM'}, {'feature': 'Bus Speed(MHz) - 2666MHz'}, {'feature': 'Number of Pin - 288 Pin'}, {'feature': 'LED Lighting - No'}, {'feature': 'Color - Green'}]","Tk
                                                    19,500                                                     (Estimated)",https://www.ryans.com/samsung-16gb-ddr4-2666mts-udimm-ecc-server-ram
Intel 12th Gen Alder Lake Core i5 12400 Desktop Processor<br> Product Id: 01.01.024.303,https://www.ryans.com/storage/products/small/bundle-with-pc-intel-12th-gen-alder-lake-core-11649230962.webp,"[{'feature': 'Generation - 12th'}, {'feature': 'Processor Type. - Core i5'}, {'feature': 'Turbo Frequency Max. - 4.40GHz'}, {'feature': 'Core - 6'}, {'feature': 'Threads - 12'}, {'feature': 'CPU Cache - 18MB'}, {'feature': 'Cpu Cooler - Included (PCG 2020C)'}]","Tk
                                                    19,500",https://www.ryans.com/intel-12th-gen-alder-lake-core-i5-12400-desktop-processor
